"","x","y","z"
"66",-7411.25070000067,4864792.7679,"3"
"67",-7413.95529999956,4864787.7943,"3"
"68",-7405.10090000182,4864789.7755,"3"
"69",-7413.92139999941,4864785.0334,"3"
"70",-7403.73600000143,4864789.0184,"3"
"71",-7398.11080000177,4864785.8973,"3"
"72",-7406.06309999898,4864788.2193,"3"
"73",-7404.70549999923,4864787.4662,"3"
"74",-7399.10970000178,4864784.3617,"3"
"75",-7398.55870603025,4864779.87839587,"3"
"76",-7397.85979999974,4864783.6682,"3"
"77",-7396.89609999955,4864785.2235,"3"
"78",-7415.16300353035,4864796.08448222,"3"
"79",-7395.10070769489,4864777.95992858,"3"
"80",-7392.35700000077,4864780.6156,"3"
"81",-7390.09580000117,4864781.4506,"3"
"82",-7391.35909999907,4864782.1517,"3"
"83",-7390.64902696759,4864785.97992566,"3"
"84",-7366.7514369674,4864837.2146493,"2"
"85",-7384.39339999855,4864778.287,"3"
"86",-7383.26559999958,4864777.6614,"3"
"87",-7384.21130000055,4864776.0964,"3"
"88",-7391.08449999988,4864779.9097,"3"
"89",-7385.37280000001,4864776.7407,"3"
"90",-7377.65129999816,4864772.9413,"3"
"91",-7376.40100000054,4864773.8529,"3"
"92",-7374.29448290542,4864777.89718264,"3"
"93",-7369.63230000064,4864770.098,"3"
"94",-7370.61470000073,4864768.5529,"3"
"95",-7363.03830000013,4864766.4395,"3"
"96",-7369.41440000013,4864767.8871,"3"
"97",-7368.38610000163,4864769.4062,"3"
"98",-7363.99610000104,4864764.8808,"3"
"99",-7356.0102000013,4864762.5402,"3"
"100",-7361.54069999978,4864765.6086,"3"
"101",-7362.52650000155,4864764.0657,"3"
"102",-7363.2282320708,4864760.27746722,"3"
"103",-7356.97810000181,4864760.9873,"3"
"104",-7350.14699999988,4864757.2492,"3"
"105",-7352.93215686083,4864754.56512628,"3"
"106",-7354.71990000084,4864761.8244,"3"
"107",-7355.67049999908,4864760.262,"3"
"108",-7349.27959999815,4864758.806,"3"
"109",-7536.621199999,4864934.2252,"2"
"110",-7536.59820000082,4864918.1172,"2"
"111",-7348.89820000157,4864756.556,"3"
"112",-7348.01289999858,4864758.1033,"3"
"113",-7541.26429999992,4864920.7782,"2"
"114",-7533.89620000124,4864939.2583,"2"
"115",-7519.15239999816,4864949.5322,"2"
"116",-7524.57039999962,4864934.093,"2"
"117",-7527.45109999925,4864929.1464,"2"
"118",-7571.07107425854,4864890.45929348,"2"
"119",-7519.15239999816,4864949.5322,"2"
"120",-7510.43717321754,4864949.25141671,"2"
"121",-7528.81640154868,4864959.43061222,"2"
"122",-7523.62819999829,4864951.9583,"2"
"123",-7571.09340000153,4864871.7184,"2"
"124",-7562.18620000035,4864866.7851,"2"
"125",-7559.497299999,4864887.6504,"2"
"126",-7559.78200000152,4864871.3735,"2"
"127",-7564.19629999995,4864887.1932,"2"
"128",-7520.72450000048,4864892.4384,"2"
"129",-7521.86718644574,4864889.47709399,"2"
"130",-7555.13230000064,4864885.2515,"2"
"131",-7537.33989999816,4864895.7854,"2"
"132",-7517.91255196556,4864887.28672764,"2"
"133",-7520.75580000132,4864891.4821,"2"
"134",-7516.08879999816,4864889.8782,"2"
"135",-7512.6041636318,4864884.949544,"2"
"136",-7516.84149999917,4864889.291,"2"
"137",-7501.22190000117,4864863.0729,"2"
"138",-7482.45617602766,4864901.42957994,"2"
"139",-7502.44970000163,4864884.1761,"2"
"140",-7489.17749999836,4864899.9449,"2"
"141",-7480.12409999967,4864894.9306,"2"
"142",-7506.73189999908,4864850.684,"2"
"143",-7516.47450000048,4864844.5972,"2"
"144",-7511.73669999838,4864841.6472,"2"
"145",-7491.03063394502,4864865.38593483,"2"
"146",-7502.82690000162,4864860.1746,"2"
"147",-7504.8814000003,4864865.5295,"2"
"148",-7474.65260000154,4864865.9525,"2"
"149",-7474.65260000154,4864865.9525,"2"
"150",-7506.52930000052,4864862.5543,"2"
"151",-7511.52149999887,4864853.5402,"2"
"152",-7469.73910000175,4864864.2915,"2"
"153",-7474.58249999955,4864866.8723,"2"
"154",-7470.5186999999,4864863.6628,"2"
"155",-7466.29110009223,4864859.33894889,"2"
"156",-7327.49216509238,4864766.66853056,"3"
"157",-7331.40049999952,4864768.4786,"3"
"158",-7458.26419999823,4864852.0843,"2"
"159",-7457.24210000038,4864853.9303,"2"
"160",-7331.74799999967,4864767.318,"3"
"161",-7344.21139999852,4864750.94,"3"
"162",-7341.21499999985,4864756.3415,"3"
"163",-7337.39479999989,4864763.227,"3"
"164",-7340.52459999919,4864757.5859,"3"
"165",-7336.70039999858,4864764.4788,"3"
"166",-7337.23213905096,4864752.84884035,"3"
"167",-7344.96840000153,4864749.576,"3"
"168",-7344.96840000153,4864749.576,"3"
"169",-7339.15388717502,4864749.38469046,"3"
"170",-7407.37959999964,4864799.6941,"3"
"171",-7410.32899999991,4864800.0056,"3"
"172",-7408.28842738271,4864803.46471681,"3"
"173",-7408.28842738271,4864803.46471681,"3"
"174",-7347.10830000043,4864748.0456,"3"
"175",-7413.15480000153,4864789.2367,"3"
"176",-7413.92139999941,4864785.0334,"3"
"177",-7411.25070000067,4864792.7679,"3"
"178",-7413.95529999956,4864787.7943,"3"
"179",-7398.11080000177,4864785.8973,"3"
"180",-7406.06309999898,4864788.2193,"3"
"181",-7404.70549999923,4864787.4662,"3"
"182",-7405.10090000182,4864789.7755,"3"
"183",-7403.73600000143,4864789.0184,"3"
"184",-7398.55870603025,4864779.87839587,"3"
"185",-7396.89609999955,4864785.2235,"3"
"186",-7397.85979999974,4864783.6682,"3"
"187",-7399.10970000178,4864784.3617,"3"
"188",-7391.35909999907,4864782.1517,"3"
"189",-7390.64902696759,4864785.97992566,"3"
"190",-7415.16300353035,4864796.08448222,"3"
"191",-7392.35700000077,4864780.6156,"3"
"192",-7385.37280000001,4864776.7407,"3"
"193",-7384.39339999855,4864778.287,"3"
"194",-7390.09580000117,4864781.4506,"3"
"195",-7391.08449999988,4864779.9097,"3"
"196",-7395.10070769489,4864777.95992858,"3"
"197",-7384.21130000055,4864776.0964,"3"
"198",-7383.26559999958,4864777.6614,"3"
"199",-7374.29448290542,4864777.89718264,"3"
"200",-7376.40100000054,4864773.8529,"3"
"201",-7377.65129999816,4864772.9413,"3"
"202",-7369.41440000013,4864767.8871,"3"
"203",-7370.61470000073,4864768.5529,"3"
"204",-7368.38610000163,4864769.4062,"3"
"205",-7369.63230000064,4864770.098,"3"
"206",-7362.52650000155,4864764.0657,"3"
"207",-7363.2282320708,4864760.27746722,"3"
"208",-7363.99610000104,4864764.8808,"3"
"209",-7361.54069999978,4864765.6086,"3"
"210",-7354.71990000084,4864761.8244,"3"
"211",-7356.97810000181,4864760.9873,"3"
"212",-7356.0102000013,4864762.5402,"3"
"213",-7350.14699999988,4864757.2492,"3"
"214",-7355.67049999908,4864760.262,"3"
"215",-7348.01289999858,4864758.1033,"3"
"216",-7352.93215686083,4864754.56512628,"3"
"217",-7348.89820000157,4864756.556,"3"
"218",-7349.27959999815,4864758.806,"3"
"219",-7527.45109999925,4864929.1464,"2"
"220",-7541.26429999992,4864920.7782,"2"
"221",-7524.57039999962,4864934.093,"2"
"222",-7536.621199999,4864934.2252,"2"
"223",-7536.59820000082,4864918.1172,"2"
"224",-7519.15239999816,4864949.5322,"2"
"225",-7519.15239999816,4864949.5322,"2"
"226",-7510.43717321754,4864949.25141671,"2"
"227",-7523.62819999829,4864951.9583,"2"
"228",-7533.89620000124,4864939.2583,"2"
"229",-7564.19629999995,4864887.1932,"2"
"230",-7559.497299999,4864887.6504,"2"
"231",-7528.81640154868,4864959.43061222,"2"
"232",-7571.07107425854,4864890.45929348,"2"
"233",-7559.78200000152,4864871.3735,"2"
"234",-7571.09340000153,4864871.7184,"2"
"235",-7555.13230000064,4864885.2515,"2"
"236",-7562.18620000035,4864866.7851,"2"
"237",-7537.33989999816,4864895.7854,"2"
"238",-7521.86718644574,4864889.47709399,"2"
"239",-7520.72450000048,4864892.4384,"2"
"240",-7526.71092675626,4864892.80180848,"2"
"241",-7517.91255196556,4864887.28672764,"2"
"242",-7512.6041636318,4864884.949544,"2"
"243",-7516.08879999816,4864889.8782,"2"
"244",-7516.84149999917,4864889.291,"2"
"245",-7502.44970000163,4864884.1761,"2"
"246",-7520.75580000132,4864891.4821,"2"
"247",-7480.12409999967,4864894.9306,"2"
"248",-7482.45617602766,4864901.42957994,"2"
"249",-7501.22190000117,4864863.0729,"2"
"250",-7489.17749999836,4864899.9449,"2"
"251",-7506.73189999908,4864850.684,"2"
"252",-7516.47450000048,4864844.5972,"2"
"253",-7511.73669999838,4864841.6472,"2"
"254",-7502.82690000162,4864860.1746,"2"
"255",-7491.03063394502,4864865.38593483,"2"
"256",-7474.65260000154,4864865.9525,"2"
"257",-7511.52149999887,4864853.5402,"2"
"258",-7504.8814000003,4864865.5295,"2"
"259",-7506.52930000052,4864862.5543,"2"
"260",-7474.58249999955,4864866.8723,"2"
"261",-7480.43149175867,4864867.13092805,"2"
"262",-7457.24210000038,4864853.9303,"2"
"263",-7470.5186999999,4864863.6628,"2"
"264",-7466.29110009223,4864859.33894889,"2"
"265",-7458.26419999823,4864852.0843,"2"
"266",-7327.49216509238,4864766.66853056,"3"
"267",-7331.74799999967,4864767.318,"3"
"268",-7331.40049999952,4864768.4786,"3"
"269",-7340.52459999919,4864757.5859,"3"
"270",-7341.21499999985,4864756.3415,"3"
"271",-7336.70039999858,4864764.4788,"3"
"272",-7337.39479999989,4864763.227,"3"
"273",-7344.21139999852,4864750.94,"3"
"274",-7337.23213905096,4864752.84884035,"3"
"275",-7344.96840000153,4864749.576,"3"
"276",-7339.15388717502,4864749.38469046,"3"
"277",-7344.96840000153,4864749.576,"3"
"278",-7407.37959999964,4864799.6941,"3"
"279",-7408.28842738271,4864803.46471681,"3"
"280",-7408.28842738271,4864803.46471681,"3"
"281",-7347.10830000043,4864748.0456,"3"
"282",-7410.32899999991,4864800.0056,"3"
"283",-7411.25070000067,4864792.7679,"3"
"284",-7413.92139999941,4864785.0334,"3"
"285",-7413.95529999956,4864787.7943,"3"
"286",-7413.15480000153,4864789.2367,"3"
"287",-7405.10090000182,4864789.7755,"3"
"288",-7404.70549999923,4864787.4662,"3"
"289",-7406.06309999898,4864788.2193,"3"
"290",-7398.11080000177,4864785.8973,"3"
"291",-7403.73600000143,4864789.0184,"3"
"292",-7399.10970000178,4864784.3617,"3"
"293",-7396.89609999955,4864785.2235,"3"
"294",-7397.85979999974,4864783.6682,"3"
"295",-7398.55870603025,4864779.87839587,"3"
"296",-7415.16300353035,4864796.08448222,"3"
"297",-7390.64902696759,4864785.97992566,"3"
"298",-7392.35700000077,4864780.6156,"3"
"299",-7391.35909999907,4864782.1517,"3"
"300",-7390.09580000117,4864781.4506,"3"
"301",-7391.08449999988,4864779.9097,"3"
"302",-7385.37280000001,4864776.7407,"3"
"303",-7384.39339999855,4864778.287,"3"
"304",-7395.10070769489,4864777.95992858,"3"
"305",-7384.21130000055,4864776.0964,"3"
"306",-7376.40100000054,4864773.8529,"3"
"307",-7374.29448290542,4864777.89718264,"3"
"308",-7383.26559999958,4864777.6614,"3"
"309",-7369.63230000064,4864770.098,"3"
"310",-7369.41440000013,4864767.8871,"3"
"311",-7377.65129999816,4864772.9413,"3"
"312",-7368.38610000163,4864769.4062,"3"
"313",-7370.61470000073,4864768.5529,"3"
"314",-7363.2282320708,4864760.27746722,"3"
"315",-7363.99610000104,4864764.8808,"3"
"316",-7362.52650000155,4864764.0657,"3"
"317",-7363.03830000013,4864766.4395,"3"
"318",-7361.54069999978,4864765.6086,"3"
"319",-7355.67049999908,4864760.262,"3"
"320",-7354.71990000084,4864761.8244,"3"
"321",-7356.97810000181,4864760.9873,"3"
"322",-7356.0102000013,4864762.5402,"3"
"323",-7349.27959999815,4864758.806,"3"
"324",-7348.89820000157,4864756.556,"3"
"325",-7350.14699999988,4864757.2492,"3"
"326",-7352.93215686083,4864754.56512628,"3"
"327",-7536.59820000082,4864918.1172,"2"
"328",-7541.26429999992,4864920.7782,"2"
"329",-7527.45109999925,4864929.1464,"2"
"330",-7348.01289999858,4864758.1033,"3"
"331",-7536.621199999,4864934.2252,"2"
"332",-7519.15239999816,4864949.5322,"2"
"333",-7524.57039999962,4864934.093,"2"
"334",-7519.15239999816,4864949.5322,"2"
"335",-7533.89620000124,4864939.2583,"2"
"336",-7510.43717321754,4864949.25141671,"2"
"337",-7523.62819999829,4864951.9583,"2"
"338",-7559.497299999,4864887.6504,"2"
"339",-7528.81640154868,4864959.43061222,"2"
"340",-7571.07107425854,4864890.45929348,"2"
"341",-7571.09340000153,4864871.7184,"2"
"342",-7562.18620000035,4864866.7851,"2"
"343",-7564.19629999995,4864887.1932,"2"
"344",-7559.78200000152,4864871.3735,"2"
"345",-7520.72450000048,4864892.4384,"2"
"346",-7521.86718644574,4864889.47709399,"2"
"347",-7526.71092675626,4864892.80180848,"2"
"348",-7555.13230000064,4864885.2515,"2"
"349",-7537.33989999816,4864895.7854,"2"
"350",-7516.84149999917,4864889.291,"2"
"351",-7520.75580000132,4864891.4821,"2"
"352",-7517.91255196556,4864887.28672764,"2"
"353",-7516.08879999816,4864889.8782,"2"
"354",-7480.12409999967,4864894.9306,"2"
"355",-7482.45617602766,4864901.42957994,"2"
"356",-7512.6041636318,4864884.949544,"2"
"357",-7489.17749999836,4864899.9449,"2"
"358",-7502.44970000163,4864884.1761,"2"
"359",-7491.03063394502,4864865.38593483,"2"
"360",-7501.22190000117,4864863.0729,"2"
"361",-7502.82690000162,4864860.1746,"2"
"362",-7506.73189999908,4864850.684,"2"
"363",-7511.73669999838,4864841.6472,"2"
"364",-7516.47450000048,4864844.5972,"2"
"365",-7504.8814000003,4864865.5295,"2"
"366",-7511.52149999887,4864853.5402,"2"
"367",-7506.52930000052,4864862.5543,"2"
"368",-7470.5186999999,4864863.6628,"2"
"369",-7466.29110009223,4864859.33894889,"2"
"370",-7474.65260000154,4864865.9525,"2"
"371",-7469.73910000175,4864864.2915,"2"
"372",-7331.74799999967,4864767.318,"3"
"373",-7480.43149175867,4864867.13092805,"2"
"374",-7331.40049999952,4864768.4786,"3"
"375",-7461.52404925972,4864852.0464766,"2"
"376",-7474.58249999955,4864866.8723,"2"
"377",-7336.70039999858,4864764.4788,"3"
"378",-7337.39479999989,4864763.227,"3"
"379",-7340.52459999919,4864757.5859,"3"
"380",-7341.21499999985,4864756.3415,"3"
"381",-7327.49216509238,4864766.66853056,"3"
"382",-7339.15388717502,4864749.38469046,"3"
"383",-7344.96840000153,4864749.576,"3"
"384",-7344.21139999852,4864750.94,"3"
"385",-7337.23213905096,4864752.84884035,"3"
"386",-7344.96840000153,4864749.576,"3"
"387",-7347.10830000043,4864748.0456,"3"
"388",-7407.37959999964,4864799.6941,"3"
"389",-7408.28842738271,4864803.46471681,"3"
"390",-7410.32899999991,4864800.0056,"3"
"391",-7408.28842738271,4864803.46471681,"3"
"392",-7411.25070000067,4864792.7679,"3"
"393",-7413.95529999956,4864787.7943,"3"
"394",-7413.15480000153,4864789.2367,"3"
"395",-7413.92139999941,4864785.0334,"3"
"396",-7403.73600000143,4864789.0184,"3"
"397",-7405.10090000182,4864789.7755,"3"
"398",-7406.06309999898,4864788.2193,"3"
"399",-7404.70549999923,4864787.4662,"3"
"400",-7398.11080000177,4864785.8973,"3"
"401",-7397.85979999974,4864783.6682,"3"
"402",-7399.10970000178,4864784.3617,"3"
"403",-7396.89609999955,4864785.2235,"3"
"404",-7390.64902696759,4864785.97992566,"3"
"405",-7415.16300353035,4864796.08448222,"3"
"406",-7391.35909999907,4864782.1517,"3"
"407",-7398.55870603025,4864779.87839587,"3"
"408",-7392.35700000077,4864780.6156,"3"
"409",-7395.10070769489,4864777.95992858,"3"
"410",-7390.09580000117,4864781.4506,"3"
"411",-7391.08449999988,4864779.9097,"3"
"412",-7383.26559999958,4864777.6614,"3"
"413",-7384.21130000055,4864776.0964,"3"
"414",-7384.39339999855,4864778.287,"3"
"415",-7376.40100000054,4864773.8529,"3"
"416",-7385.37280000001,4864776.7407,"3"
"417",-7370.61470000073,4864768.5529,"3"
"418",-7369.63230000064,4864770.098,"3"
"419",-7374.29448290542,4864777.89718264,"3"
"420",-7377.65129999816,4864772.9413,"3"
"421",-7363.03830000013,4864766.4395,"3"
"422",-7368.38610000163,4864769.4062,"3"
"423",-7362.52650000155,4864764.0657,"3"
"424",-7369.41440000013,4864767.8871,"3"
"425",-7363.99610000104,4864764.8808,"3"
"426",-7356.97810000181,4864760.9873,"3"
"427",-7356.0102000013,4864762.5402,"3"
"428",-7363.2282320708,4864760.27746722,"3"
"429",-7361.54069999978,4864765.6086,"3"
"430",-7352.93215686083,4864754.56512628,"3"
"431",-7349.27959999815,4864758.806,"3"
"432",-7354.71990000084,4864761.8244,"3"
"433",-7350.14699999988,4864757.2492,"3"
"434",-7355.67049999908,4864760.262,"3"
"435",-7536.59820000082,4864918.1172,"2"
"436",-7348.89820000157,4864756.556,"3"
"437",-7536.621199999,4864934.2252,"2"
"438",-7348.01289999858,4864758.1033,"3"
"439",-7519.15239999816,4864949.5322,"2"
"440",-7524.57039999962,4864934.093,"2"
"441",-7533.89620000124,4864939.2583,"2"
"442",-7527.45109999925,4864929.1464,"2"
"443",-7541.26429999992,4864920.7782,"2"
"444",-7528.81640154868,4864959.43061222,"2"
"445",-7510.43717321754,4864949.25141671,"2"
"446",-7519.15239999816,4864949.5322,"2"
"447",-7523.62819999829,4864951.9583,"2"
"448",-7564.19629999995,4864887.1932,"2"
"449",-7559.497299999,4864887.6504,"2"
"450",-7571.09340000153,4864871.7184,"2"
"451",-7562.18620000035,4864866.7851,"2"
"452",-7555.13230000064,4864885.2515,"2"
"453",-7520.72450000048,4864892.4384,"2"
"454",-7520.72450000048,4864892.4384,"2"
"455",-7537.33989999816,4864895.7854,"2"
"456",-7559.78200000152,4864871.3735,"2"
"457",-7521.86718644574,4864889.47709399,"2"
"458",-7516.84149999917,4864889.291,"2"
"459",-7517.91255196556,4864887.28672764,"2"
"460",-7526.71092675626,4864892.80180848,"2"
"461",-7516.08879999816,4864889.8782,"2"
"462",-7512.6041636318,4864884.949544,"2"
"463",-7520.75580000132,4864891.4821,"2"
"464",-7502.44970000163,4864884.1761,"2"
"465",-7480.12409999967,4864894.9306,"2"
"466",-7482.45617602766,4864901.42957994,"2"
"467",-7491.03063394502,4864865.38593483,"2"
"468",-7501.22190000117,4864863.0729,"2"
"469",-7489.17749999836,4864899.9449,"2"
"470",-7506.73189999908,4864850.684,"2"
"471",-7502.82690000162,4864860.1746,"2"
"472",-7511.73669999838,4864841.6472,"2"
"473",-7516.47450000048,4864844.5972,"2"
"474",-7504.8814000003,4864865.5295,"2"
"475",-7470.5186999999,4864863.6628,"2"
"476",-7474.65260000154,4864865.9525,"2"
"477",-7506.52930000052,4864862.5543,"2"
"478",-7511.52149999887,4864853.5402,"2"
"479",-7469.73910000175,4864864.2915,"2"
"480",-7466.29110009223,4864859.33894889,"2"
"481",-7474.58249999955,4864866.8723,"2"
"482",-7480.43149175867,4864867.13092805,"2"
"483",-7458.26419999823,4864852.0843,"2"
"484",-7331.40049999952,4864768.4786,"3"
"485",-7336.70039999858,4864764.4788,"3"
"486",-7327.49216509238,4864766.66853056,"3"
"487",-7331.74799999967,4864767.318,"3"
"488",-7344.21139999852,4864750.94,"3"
"489",-7337.39479999989,4864763.227,"3"
"490",-7341.21499999985,4864756.3415,"3"
"491",-7340.52459999919,4864757.5859,"3"
"492",-7344.96840000153,4864749.576,"3"
"493",-7339.15388717502,4864749.38469046,"3"
"494",-7347.10830000043,4864748.0456,"3"
"495",-7344.96840000153,4864749.576,"3"
"496",-7337.23213905096,4864752.84884035,"3"
"497",-7408.28842738271,4864803.46471681,"3"
"498",-7407.37959999964,4864799.6941,"3"
"499",-7408.28842738271,4864803.46471681,"3"
"500",-7410.32899999991,4864800.0056,"3"
"501",-7413.95529999956,4864787.7943,"3"
"502",-7413.15480000153,4864789.2367,"3"
"503",-7411.25070000067,4864792.7679,"3"
"504",-7413.92139999941,4864785.0334,"3"
"505",-7405.10090000182,4864789.7755,"3"
"506",-7403.73600000143,4864789.0184,"3"
"507",-7398.11080000177,4864785.8973,"3"
"508",-7404.70549999923,4864787.4662,"3"
"509",-7406.06309999898,4864788.2193,"3"
"510",-7397.85979999974,4864783.6682,"3"
"511",-7415.16300353035,4864796.08448222,"3"
"512",-7399.10970000178,4864784.3617,"3"
"513",-7398.55870603025,4864779.87839587,"3"
"514",-7396.89609999955,4864785.2235,"3"
"515",-7392.35700000077,4864780.6156,"3"
"516",-7391.35909999907,4864782.1517,"3"
"517",-7390.64902696759,4864785.97992566,"3"
"518",-7395.10070769489,4864777.95992858,"3"
"519",-7385.37280000001,4864776.7407,"3"
"520",-7390.09580000117,4864781.4506,"3"
"521",-7391.08449999988,4864779.9097,"3"
"522",-7384.39339999855,4864778.287,"3"
"523",-7383.26559999958,4864777.6614,"3"
"524",-7374.29448290542,4864777.89718264,"3"
"525",-7384.21130000055,4864776.0964,"3"
"526",-7377.65129999816,4864772.9413,"3"
"527",-7376.40100000054,4864773.8529,"3"
"528",-7368.38610000163,4864769.4062,"3"
"529",-7370.61470000073,4864768.5529,"3"
"530",-7369.63230000064,4864770.098,"3"
"531",-7363.99610000104,4864764.8808,"3"
"532",-7369.41440000013,4864767.8871,"3"
"533",-7363.2282320708,4864760.27746722,"3"
"534",-7363.03830000013,4864766.4395,"3"
"535",-7362.52650000155,4864764.0657,"3"
"536",-7361.54069999978,4864765.6086,"3"
"537",-7356.0102000013,4864762.5402,"3"
"538",-7350.14699999988,4864757.2492,"3"
"539",-7356.97810000181,4864760.9873,"3"
"540",-7354.71990000084,4864761.8244,"3"
"541",-7355.67049999908,4864760.262,"3"
"542",-7348.01289999858,4864758.1033,"3"
"543",-7352.93215686083,4864754.56512628,"3"
"544",-7348.89820000157,4864756.556,"3"
"545",-7349.27959999815,4864758.806,"3"
"546",-7524.57039999962,4864934.093,"2"
"547",-7541.26429999992,4864920.7782,"2"
"548",-7527.45109999925,4864929.1464,"2"
"549",-7536.59820000082,4864918.1172,"2"
"550",-7536.621199999,4864934.2252,"2"
"551",-7519.15239999816,4864949.5322,"2"
"552",-7533.89620000124,4864939.2583,"2"
"553",-7510.43717321754,4864949.25141671,"2"
"554",-7519.15239999816,4864949.5322,"2"
"555",-7564.19629999995,4864887.1932,"2"
"556",-7559.497299999,4864887.6504,"2"
"557",-7523.62819999829,4864951.9583,"2"
"558",-7528.81640154868,4864959.43061222,"2"
"559",-7555.13230000064,4864885.2515,"2"
"560",-7537.33989999816,4864895.7854,"2"
"561",-7559.78200000152,4864871.3735,"2"
"562",-7562.18620000035,4864866.7851,"2"
"563",-7571.09340000153,4864871.7184,"2"
"564",-7520.72450000048,4864892.4384,"2"
"565",-7521.86718644574,4864889.47709399,"2"
"566",-7520.72450000048,4864892.4384,"2"
"567",-7526.71092675626,4864892.80180848,"2"
"568",-7516.08879999816,4864889.8782,"2"
"569",-7517.91255196556,4864887.28672764,"2"
"570",-7520.75580000132,4864891.4821,"2"
"571",-7516.84149999917,4864889.291,"2"
"572",-7512.6041636318,4864884.949544,"2"
"573",-7489.17749999836,4864899.9449,"2"
"574",-7502.44970000163,4864884.1761,"2"
"575",-7480.12409999967,4864894.9306,"2"
"576",-7482.45617602766,4864901.42957994,"2"
"577",-7491.03063394502,4864865.38593483,"2"
"578",-7502.82690000162,4864860.1746,"2"
"579",-7511.73669999838,4864841.6472,"2"
"580",-7506.73189999908,4864850.684,"2"
"581",-7501.22190000117,4864863.0729,"2"
"582",-7506.52930000052,4864862.5543,"2"
"583",-7516.47450000048,4864844.5972,"2"
"584",-7504.8814000003,4864865.5295,"2"
"585",-7511.52149999887,4864853.5402,"2"
"586",-7474.65260000154,4864865.9525,"2"
"587",-7469.73910000175,4864864.2915,"2"
"588",-7466.29110009223,4864859.33894889,"2"
"589",-7474.58249999955,4864866.8723,"2"
"590",-7470.5186999999,4864863.6628,"2"
"591",-7457.24210000038,4864853.9303,"2"
"592",-7458.26419999823,4864852.0843,"2"
"593",-7480.43149175867,4864867.13092805,"2"
"594",-7461.52404925972,4864852.0464766,"2"
"595",-7327.49216509238,4864766.66853056,"3"
"596",-7331.40049999952,4864768.4786,"3"
"597",-7336.70039999858,4864764.4788,"3"
"598",-7331.74799999967,4864767.318,"3"
"599",-7337.39479999989,4864763.227,"3"
"600",-7339.15388717502,4864749.38469046,"3"
"601",-7341.21499999985,4864756.3415,"3"
"602",-7344.21139999852,4864750.94,"3"
"603",-7340.52459999919,4864757.5859,"3"
"604",-7344.96840000153,4864749.576,"3"
"605",-7347.10830000043,4864748.0456,"3"
"606",-7337.23213905096,4864752.84884035,"3"
