"","LONGITUDE","LATITUDE","FLOOR","variable","value"
"36",-7426.93832446635,4864864.10805024,"0","WAP006",-61
"37",-7425.66110000014,4864873.1327,"0","WAP006",-76
"38",-7661.73589999974,4864938.3039,"0","WAP007",-75
"39",-7643.99379999936,4864930.198,"0","WAP007",-69
"40",-7661.89689999819,4864934.6188,"0","WAP007",-73
"41",-7675.35249999911,4864932.8629,"0","WAP007",-74
"42",-7646.33929999918,4864932.2718,"0","WAP007",-67
"43",-7643.38509999961,4864928.0748,"0","WAP007",-73
"44",-7641.28579999879,4864920.7506,"0","WAP007",-60
"45",-7641.77189999819,4864922.4459,"0","WAP007",-62
"46",-7639.64950000122,4864915.0412,"0","WAP007",-54
"47",-7646.24460000172,4864925.929,"0","WAP007",-72
"48",-7637.72890000045,4864903.1834,"0","WAP007",-76
"49",-7639.1361999996,4864913.2513,"0","WAP007",-61
"50",-7636.96020000055,4864905.6597,"0","WAP007",-65
"51",-7640.70399999991,4864913.5625,"0","WAP007",-49
"52",-7637.00239999965,4864905.5323,"1","WAP007",-75
"53",-7639.69099999964,4864914.9128,"1","WAP007",-71
"54",-7639.18010000139,4864913.1301,"1","WAP007",-78
"55",-7641.32979999855,4864920.6295,"1","WAP007",-72
"56",-7641.81230000034,4864922.3139,"1","WAP007",-76
"57",-7643.42819999903,4864927.9508,"1","WAP007",-77
"58",-7643.42819999903,4864927.9508,"1","WAP007",-79
"59",-7646.4235999994,4864925.7571,"1","WAP007",-74
"60",-7656.63569999859,4864938.026,"0","WAP007",-74
"61",-7661.73589999974,4864938.3039,"0","WAP007",-74
"62",-7669.23350000009,4864936.1548,"0","WAP007",-79
"63",-7667.33980000019,4864936.6978,"0","WAP007",-79
"64",-7676.6270999983,4864934.0356,"0","WAP007",-79
"65",-7646.33929999918,4864932.2718,"0","WAP007",-72
"66",-7643.99379999936,4864930.198,"0","WAP007",-68
"67",-7646.33929999918,4864932.2718,"0","WAP007",-77
"68",-7643.38509999961,4864928.0748,"0","WAP007",-67
"69",-7639.64950000122,4864915.0412,"0","WAP007",-56
"70",-7641.28579999879,4864920.7506,"0","WAP007",-59
"71",-7646.24460000172,4864925.929,"0","WAP007",-68
"72",-7637.72890000045,4864903.1834,"0","WAP007",-67
"73",-7636.96020000055,4864905.6597,"0","WAP007",-62
"74",-7639.1361999996,4864913.2513,"0","WAP007",-60
"75",-7640.70399999991,4864913.5625,"0","WAP007",-55
"76",-7641.81230000034,4864922.3139,"1","WAP007",-79
"77",-7639.18010000139,4864913.1301,"1","WAP007",-74
"78",-7641.32979999855,4864920.6295,"1","WAP007",-73
"79",-7639.69099999964,4864914.9128,"1","WAP007",-79
"80",-7646.4235999994,4864925.7571,"1","WAP007",-73
"81",-7643.42819999903,4864927.9508,"1","WAP007",-74
"82",-7656.63569999859,4864938.026,"0","WAP007",-78
"83",-7661.73589999974,4864938.3039,"0","WAP007",-73
"84",-7646.33929999918,4864932.2718,"0","WAP007",-75
"85",-7675.35249999911,4864932.8629,"0","WAP007",-76
"86",-7661.89689999819,4864934.6188,"0","WAP007",-74
"87",-7641.28579999879,4864920.7506,"0","WAP007",-56
"88",-7646.33929999918,4864932.2718,"0","WAP007",-73
"89",-7646.24460000172,4864925.929,"0","WAP007",-69
"90",-7643.38509999961,4864928.0748,"0","WAP007",-76
"91",-7639.64950000122,4864915.0412,"0","WAP007",-55
"92",-7636.96020000055,4864905.6597,"0","WAP007",-63
"93",-7640.70399999991,4864913.5625,"0","WAP007",-51
"94",-7639.69099999964,4864914.9128,"1","WAP007",-74
"95",-7641.32979999855,4864920.6295,"1","WAP007",-74
"96",-7646.4235999994,4864925.7571,"1","WAP007",-78
"97",-7656.63569999859,4864938.026,"0","WAP007",-79
"98",-7661.89689999819,4864934.6188,"0","WAP007",-75
"99",-7643.99379999936,4864930.198,"0","WAP007",-62
"100",-7641.28579999879,4864920.7506,"0","WAP007",-57
"101",-7639.64950000122,4864915.0412,"0","WAP007",-58
"102",-7643.38509999961,4864928.0748,"0","WAP007",-77
"103",-7641.77189999819,4864922.4459,"0","WAP007",-61
"104",-7646.24460000172,4864925.929,"0","WAP007",-65
"105",-7639.1361999996,4864913.2513,"0","WAP007",-55
"106",-7641.32979999855,4864920.6295,"1","WAP007",-75
"107",-7639.69099999964,4864914.9128,"1","WAP007",-73
"108",-7639.18010000139,4864913.1301,"1","WAP007",-75
"109",-7675.35249999911,4864932.8629,"0","WAP007",-75
"110",-7643.38509999961,4864928.0748,"0","WAP007",-74
"111",-7643.99379999936,4864930.198,"0","WAP007",-65
"112",-7641.77189999819,4864922.4459,"0","WAP007",-59
"113",-7639.64950000122,4864915.0412,"0","WAP007",-61
"114",-7640.70399999991,4864913.5625,"0","WAP007",-53
"115",-7639.1361999996,4864913.2513,"0","WAP007",-59
"116",-7639.18010000139,4864913.1301,"1","WAP007",-70
"117",-7637.00239999965,4864905.5323,"1","WAP007",-79
"118",-7639.69099999964,4864914.9128,"1","WAP007",-70
"119",-7643.42819999903,4864927.9508,"1","WAP007",-75
"120",-7661.73589999974,4864938.3039,"0","WAP007",-76
"121",-7675.35249999911,4864932.8629,"0","WAP007",-77
"122",-7661.89689999819,4864934.6188,"0","WAP007",-76
"123",-7643.99379999936,4864930.198,"0","WAP007",-63
"124",-7643.38509999961,4864928.0748,"0","WAP007",-66
"125",-7641.77189999819,4864922.4459,"0","WAP007",-57
"126",-7646.24460000172,4864925.929,"0","WAP007",-66
"127",-7637.72890000045,4864903.1834,"0","WAP007",-66
"128",-7639.1361999996,4864913.2513,"0","WAP007",-54
"129",-7640.70399999991,4864913.5625,"0","WAP007",-48
"130",-7639.18010000139,4864913.1301,"1","WAP007",-72
"131",-7641.32979999855,4864920.6295,"1","WAP007",-76
"132",-7643.42819999903,4864927.9508,"1","WAP007",-78
"133",-7646.4235999994,4864925.7571,"1","WAP007",-75
"134",-7661.73589999974,4864938.3039,"0","WAP007",-72
"135",-7641.77189999819,4864922.4459,"0","WAP007",-58
"136",-7643.38509999961,4864928.0748,"0","WAP007",-71
"137",-7646.33929999918,4864932.2718,"0","WAP007",-74
"138",-7646.24460000172,4864925.929,"0","WAP007",-71
"139",-7641.28579999879,4864920.7506,"0","WAP007",-58
"140",-7640.70399999991,4864913.5625,"0","WAP007",-47
"141",-7637.72890000045,4864903.1834,"0","WAP007",-68
"142",-7636.96020000055,4864905.6597,"0","WAP007",-64
"143",-7639.18010000139,4864913.1301,"1","WAP007",-71
"144",-7644.03489999846,4864930.0668,"1","WAP007",-78
"145",-7641.28579999879,4864920.7506,"0","WAP007",-66
"146",-7639.64950000122,4864915.0412,"0","WAP007",-62
"147",-7646.24460000172,4864925.929,"0","WAP007",-70
"148",-7643.38509999961,4864928.0748,"0","WAP007",-69
"149",-7639.69099999964,4864914.9128,"1","WAP007",-75
"150",-7646.4235999994,4864925.7571,"1","WAP007",-77
"151",-7639.64950000122,4864915.0412,"0","WAP007",-59
"152",-7641.28579999879,4864920.7506,"0","WAP007",-65
"153",-7641.77189999819,4864922.4459,"0","WAP007",-60
"154",-7637.72890000045,4864903.1834,"0","WAP007",-73
"155",-7639.1361999996,4864913.2513,"0","WAP007",-56
"156",-7644.03489999846,4864930.0668,"1","WAP007",-79
"157",-7656.63569999859,4864938.026,"0","WAP007",-76
"158",-7646.33929999918,4864932.2718,"0","WAP007",-68
"159",-7643.38509999961,4864928.0748,"0","WAP007",-79
"160",-7639.1361999996,4864913.2513,"0","WAP007",-58
"161",-7639.64950000122,4864915.0412,"0","WAP007",-57
"162",-7636.96020000055,4864905.6597,"0","WAP007",-67
"163",-7637.72890000045,4864903.1834,"0","WAP007",-74
"164",-7637.00239999965,4864905.5323,"1","WAP007",-76
"165",-7519.00869999826,4864949.4528,"0","WAP008",-72
"166",-7530.60090000182,4864928.652,"0","WAP008",-79
"167",-7523.49439999834,4864951.8853,"0","WAP008",-65
"168",-7533.8376000002,4864939.373,"0","WAP008",-66
"169",-7523.49450000003,4864951.8854,"1","WAP008",-79
"170",-7528.60806863382,4864959.50525118,"1","WAP008",-69
"171",-7528.60806863382,4864959.50525118,"1","WAP008",-77
"172",-7528.60806863382,4864959.50525118,"1","WAP008",-73
"173",-7519.00869999826,4864949.4528,"0","WAP008",-70
"174",-7530.60090000182,4864928.652,"0","WAP008",-78
"175",-7533.8376000002,4864939.373,"0","WAP008",-70
"176",-7523.49439999834,4864951.8853,"0","WAP008",-70
"177",-7528.60806863382,4864959.50525118,"1","WAP008",-68
"178",-7535.45080000162,4864931.1823,"0","WAP008",-79
"179",-7523.49439999834,4864951.8853,"0","WAP008",-66
"180",-7533.8376000002,4864939.373,"0","WAP008",-68
"181",-7528.60806863382,4864959.50525118,"1","WAP008",-72
"182",-7528.60806863382,4864959.50525118,"1","WAP008",-70
"183",-7519.00869999826,4864949.4528,"0","WAP008",-71
"184",-7533.8376000002,4864939.373,"0","WAP008",-67
"185",-7528.60806863382,4864959.50525118,"1","WAP008",-74
"186",-7523.49450000003,4864951.8854,"1","WAP008",-77
"187",-7530.60090000182,4864928.652,"0","WAP008",-77
"188",-7523.49450000003,4864951.8854,"1","WAP008",-78
"189",-7523.49439999834,4864951.8853,"0","WAP008",-63
"190",-7523.49439999834,4864951.8853,"0","WAP008",-62
"191",-7528.60806863382,4864959.50525118,"1","WAP008",-71
"192",-7528.60806863382,4864959.50525118,"1","WAP008",-75
"193",-7528.60806863382,4864959.50525118,"1","WAP008",-76
"194",-7519.00869999826,4864949.4528,"0","WAP008",-69
"195",-7523.49439999834,4864951.8853,"0","WAP008",-61
"196",-7528.60806863382,4864959.50525118,"1","WAP008",-67
"197",-7535.20951540396,4864948.0904118,"1","WAP008",-79
"198",-7523.49439999834,4864951.8853,"0","WAP008",-64
"199",-7524.51429999992,4864934.1946,"1","WAP008",-63
"200",-7528.60806863382,4864959.50525118,"1","WAP008",-63
"201",-7510.21120582148,4864949.28709576,"1","WAP008",-63
"202",-7519.00869999826,4864949.4529,"1","WAP008",-63
"203",-7536.49289999902,4864918.0596,"1","WAP008",-63
"204",-7527.40260000154,4864929.2383,"1","WAP008",-63
"205",-7528.60806863382,4864959.50525118,"1","WAP008",-61
"206",-7528.60806863382,4864959.50525118,"1","WAP008",-62
"207",-7535.45080000162,4864931.1823,"0","WAP008",-76
"208",-7533.8376000002,4864939.373,"0","WAP008",-69
"209",-7519.00869999826,4864949.4528,"0","WAP008",-67
"210",-7535.45080000162,4864931.1823,"0","WAP008",-78
"211",-7533.8376000002,4864939.373,"0","WAP008",-73
"212",-7523.49439999834,4864951.8853,"0","WAP008",-72
"213",-7523.49450000003,4864951.8854,"1","WAP008",-75
"214",-7519.00869999826,4864949.4528,"0","WAP008",-68
"215",-7523.49439999834,4864951.8853,"0","WAP008",-68
"216",-7523.49450000003,4864951.8854,"1","WAP008",-76
"217",-7535.45080000162,4864931.1823,"0","WAP008",-75
"218",-7523.49439999834,4864951.8853,"0","WAP008",-67
"219",-7589.06239999831,4864985.5291,"3","WAP008",-78
"220",-7589.06239999831,4864985.5291,"2","WAP008",-66
"221",-7589.06239999831,4864985.5291,"2","WAP008",-75
"222",-7647.62629999965,4864944.4577,"1","WAP009",-70
"223",-7648.53040000051,4864942.8061,"2","WAP009",-68
"224",-7650.16560000181,4864937.0569,"2","WAP009",-73
"225",-7643.11780000106,4864947.8308,"2","WAP009",-66
"226",-7648.53040000051,4864942.8061,"2","WAP009",-62
"227",-7659.93530000001,4864938.7962,"2","WAP009",-76
"228",-7656.48750000075,4864938.0895,"2","WAP009",-71
"229",-7661.75310000032,4864938.2754,"2","WAP009",-77
"230",-7661.55820000172,4864934.3436,"2","WAP009",-73
"231",-7644.94530000165,4864948.8147,"3","WAP009",-63
"232",-7643.13899999857,4864947.852,"3","WAP009",-74
"233",-7647.26579999924,4864945.2348,"3","WAP009",-74
"234",-7650.16560000181,4864937.0569,"3","WAP009",-79
"235",-7656.55909999833,4864938.029,"1","WAP009",-79
"236",-7648.53040000051,4864942.8061,"2","WAP009",-66
"237",-7650.16560000181,4864937.0569,"2","WAP009",-62
"238",-7643.11780000106,4864947.8308,"2","WAP009",-69
"239",-7648.53040000051,4864942.8061,"2","WAP009",-56
"240",-7650.16560000181,4864937.0569,"2","WAP009",-70
"241",-7656.48750000075,4864938.0895,"2","WAP009",-67
"242",-7661.55820000172,4864934.3436,"2","WAP009",-76
"243",-7644.94530000165,4864948.8147,"3","WAP009",-71
"244",-7647.26579999924,4864945.2348,"3","WAP009",-68
"245",-7647.62629999965,4864944.4577,"1","WAP009",-77
"246",-7648.53040000051,4864942.8061,"2","WAP009",-61
"247",-7648.53040000051,4864942.8061,"2","WAP009",-59
"248",-7650.16560000181,4864937.0569,"2","WAP009",-67
"249",-7656.48750000075,4864938.0895,"2","WAP009",-73
"250",-7667.35179999843,4864936.6705,"2","WAP009",-77
"251",-7659.93530000001,4864938.7962,"2","WAP009",-74
"252",-7661.55820000172,4864934.3436,"2","WAP009",-79
"253",-7643.13899999857,4864947.852,"3","WAP009",-76
"254",-7647.26579999924,4864945.2348,"3","WAP009",-67
"255",-7645.04190000147,4864948.918,"1","WAP009",-79
"256",-7643.11780000106,4864947.8308,"2","WAP009",-64
"257",-7648.53040000051,4864942.8061,"2","WAP009",-57
"258",-7650.16560000181,4864937.0569,"2","WAP009",-75
"259",-7650.16560000181,4864937.0569,"2","WAP009",-66
"260",-7656.48750000075,4864938.0895,"2","WAP009",-75
"261",-7669.24780000001,4864936.1268,"2","WAP009",-78
"262",-7659.93530000001,4864938.7962,"2","WAP009",-75
"263",-7661.55820000172,4864934.3436,"2","WAP009",-75
"264",-7644.94530000165,4864948.8147,"3","WAP009",-73
"265",-7643.13899999857,4864947.852,"3","WAP009",-73
"266",-7645.04190000147,4864948.918,"1","WAP009",-76
"267",-7647.62629999965,4864944.4577,"1","WAP009",-74
"268",-7643.11780000106,4864947.8308,"2","WAP009",-65
"269",-7648.53040000051,4864942.8061,"2","WAP009",-60
"270",-7650.16560000181,4864937.0569,"2","WAP009",-72
"271",-7650.16560000181,4864937.0569,"2","WAP009",-68
"272",-7659.93530000001,4864938.7962,"2","WAP009",-77
"273",-7661.55820000172,4864934.3436,"2","WAP009",-72
"274",-7643.13899999857,4864947.852,"3","WAP009",-75
"275",-7647.26579999924,4864945.2348,"3","WAP009",-70
"276",-7656.55909999833,4864938.029,"1","WAP009",-77
"277",-7648.53040000051,4864942.8061,"2","WAP009",-64
"278",-7643.11780000106,4864947.8308,"2","WAP009",-67
"279",-7656.48750000075,4864938.0895,"2","WAP009",-76
"280",-7647.26579999924,4864945.2348,"3","WAP009",-69
"281",-7644.94530000165,4864948.8147,"3","WAP009",-72
"282",-7647.62629999965,4864944.4577,"1","WAP009",-78
"283",-7648.53040000051,4864942.8061,"2","WAP009",-65
"284",-7648.53040000051,4864942.8061,"2","WAP009",-55
"285",-7650.16560000181,4864937.0569,"2","WAP009",-69
"286",-7661.75310000032,4864938.2754,"2","WAP009",-76
"287",-7643.13899999857,4864947.852,"3","WAP009",-77
"288",-7647.26579999924,4864945.2348,"3","WAP009",-63
"289",-7648.53040000051,4864942.8061,"2","WAP009",-63
"290",-7659.93530000001,4864938.7962,"2","WAP009",-79
"291",-7661.75310000032,4864938.2754,"2","WAP009",-78
"292",-7656.48750000075,4864938.0895,"2","WAP009",-69
"293",-7644.94530000165,4864948.8147,"3","WAP009",-74
"294",-7650.16560000181,4864937.0569,"3","WAP009",-76
"295",-7647.26579999924,4864945.2348,"3","WAP009",-65
"296",-7647.62629999965,4864944.4577,"1","WAP009",-75
"297",-7650.16560000181,4864937.0569,"2","WAP009",-77
"298",-7656.48750000075,4864938.0895,"2","WAP009",-65
"299",-7661.75310000032,4864938.2754,"2","WAP009",-75
"300",-7644.94530000165,4864948.8147,"3","WAP009",-75
"301",-7647.26579999924,4864945.2348,"3","WAP009",-76
"302",-7647.62629999965,4864944.4577,"1","WAP009",-73
"303",-7648.53040000051,4864942.8061,"2","WAP009",-58
"304",-7656.48750000075,4864938.0895,"2","WAP009",-68
"305",-7659.93530000001,4864938.7962,"2","WAP009",-73
"306",-7661.55820000172,4864934.3436,"2","WAP009",-69
"307",-7643.13899999857,4864947.852,"3","WAP009",-78
"308",-7650.16560000181,4864937.0569,"3","WAP009",-78
"309",-7661.75310000032,4864938.2754,"1","WAP009",-78
"310",-7645.04190000147,4864948.918,"1","WAP009",-73
"311",-7650.16560000181,4864937.0569,"1","WAP009",-74
"312",-7647.62629999965,4864944.4577,"1","WAP009",-67
"313",-7643.0923999995,4864947.8138,"1","WAP009",-72
"314",-7643.42819999903,4864927.9508,"2","WAP009",-79
"315",-7659.93530000001,4864938.7962,"2","WAP009",-70
"316",-7667.35179999843,4864936.6705,"2","WAP009",-72
"317",-7661.75310000032,4864938.2754,"2","WAP009",-69
"318",-7676.64359999821,4864934.007,"2","WAP009",-75
"319",-7689.51339999959,4864928.7361,"2","WAP009",-77
"320",-7656.48750000075,4864938.0895,"2","WAP009",-52
"321",-7661.55820000172,4864934.3436,"2","WAP009",-78
"322",-7650.16560000181,4864937.0569,"2","WAP009",-64
"323",-7643.11780000106,4864947.8308,"2","WAP009",-56
"324",-7656.76280000061,4864938.0258,"3","WAP009",-75
"325",-7643.13899999857,4864947.852,"3","WAP009",-70
"326",-7644.94530000165,4864948.8147,"3","WAP009",-66
"327",-7643.20149999857,4864947.9906,"0","WAP009",-75
"328",-7667.35179999843,4864936.6705,"1","WAP009",-78
"329",-7647.62629999965,4864944.4577,"1","WAP009",-65
"330",-7645.04190000147,4864948.918,"1","WAP009",-70
"331",-7643.0923999995,4864947.8138,"1","WAP009",-73
"332",-7669.24780000001,4864936.1268,"2","WAP009",-72
"333",-7661.75310000032,4864938.2754,"2","WAP009",-67
"334",-7682.55909999833,4864932.3116,"2","WAP009",-75
"335",-7656.48750000075,4864938.0895,"2","WAP009",-50
"336",-7646.2862999998,4864932.3486,"2","WAP009",-78
"337",-7643.11780000106,4864947.8308,"2","WAP009",-57
"338",-7647.26579999924,4864945.2348,"3","WAP009",-62
"339",-7646.30759999901,4864932.3486,"3","WAP009",-71
"340",-7643.13899999857,4864947.852,"3","WAP009",-67
"341",-7647.62629999965,4864944.4577,"1","WAP009",-64
"342",-7643.42819999903,4864927.9508,"2","WAP009",-76
"343",-7661.75310000032,4864938.2754,"2","WAP009",-70
"344",-7659.93530000001,4864938.7962,"2","WAP009",-71
"345",-7667.35179999843,4864936.6705,"2","WAP009",-73
"346",-7656.48750000075,4864938.0895,"2","WAP009",-51
"347",-7643.11780000106,4864947.8308,"2","WAP009",-58
"348",-7643.13899999857,4864947.852,"3","WAP009",-66
"349",-7667.35179999843,4864936.6705,"2","WAP009",-74
"350",-7644.94530000165,4864948.8147,"3","WAP009",-65
"351",-7643.13899999857,4864947.852,"3","WAP009",-69
"352",-7667.35179999843,4864936.6705,"2","WAP009",-70
"353",-7656.48750000075,4864938.0895,"2","WAP009",-58
"354",-7644.94530000165,4864948.8147,"3","WAP009",-69
"355",-7643.0923999995,4864947.8138,"1","WAP009",-71
"356",-7661.75310000032,4864938.2754,"2","WAP009",-71
"357",-7661.75310000032,4864938.2754,"2","WAP009",-66
"358",-7661.75310000032,4864938.2754,"2","WAP009",-73
"359",-7656.48750000075,4864938.0895,"2","WAP009",-61
"360",-7644.94530000165,4864948.8147,"3","WAP009",-67
"361",-7390.7611999996,4864835.141,"3","WAP011",-66
"362",-7381.75470000133,4864845.7573,"3","WAP011",-43
"363",-7390.4354000017,4864835.897,"3","WAP011",-69
"364",-7383.73310000077,4864842.1917,"3","WAP011",-45
"365",-7386.10599999875,4864837.9142,"3","WAP011",-49
"366",-7380.93459999934,4864847.2356,"3","WAP011",-49
"367",-7377.09640000015,4864854.1539,"3","WAP011",-52
"368",-7374.34750000015,4864845.6047,"3","WAP011",-38
"369",-7375.02870000154,4864855.4599,"3","WAP011",-48
"370",-7377.84659999982,4864852.8022,"3","WAP011",-47
"371",-7366.09589999914,4864845.5816,"3","WAP011",-62
"372",-7370.01060000062,4864847.7536,"3","WAP011",-44
"373",-7372.80299999937,4864849.3027,"3","WAP011",-47
"374",-7373.05279999971,4864844.8865,"3","WAP011",-55
"375",-7363.28240000084,4864844.0206,"3","WAP011",-57
"376",-7367.45879999921,4864841.7828,"3","WAP011",-45
"377",-7356.61199999973,4864840.32,"3","WAP011",-75
"378",-7359.1484999992,4864841.7272,"3","WAP011",-70
"379",-7366.24240000173,4864841.108,"3","WAP011",-55
"380",-7359.33109999821,4864837.2735,"3","WAP011",-59
"381",-7353.72340000048,4864834.1625,"3","WAP011",-68
"382",-7360.497299999,4864837.9205,"3","WAP011",-71
"383",-7352.3396999985,4864837.9498,"3","WAP011",-68
"384",-7338.66330000013,4864826.2543,"3","WAP011",-67
"385",-7352.52030000091,4864833.4948,"3","WAP011",-61
"386",-7345.42330000177,4864829.5577,"3","WAP011",-68
"387",-7331.91840000078,4864822.5122,"3","WAP011",-71
"388",-7331.91840000078,4864822.5122,"3","WAP011",-73
"389",-7337.52789999917,4864825.6245,"3","WAP011",-70
"390",-7323.89180000126,4864818.0592,"3","WAP011",-76
"391",-7331.91840000078,4864822.5122,"3","WAP011",-75
"392",-7312.66220000014,4864807.6249,"3","WAP011",-74
"393",-7359.44009999931,4864766.4086,"2","WAP011",-78
"394",-7386.10599999875,4864837.9142,"3","WAP011",-51
"395",-7394.57782488316,4864836.92470566,"3","WAP011",-69
"396",-7390.7611999996,4864835.141,"3","WAP011",-61
"397",-7390.4354000017,4864835.897,"3","WAP011",-62
"398",-7377.84659999982,4864852.8022,"3","WAP011",-48
"399",-7381.75470000133,4864845.7573,"3","WAP011",-41
"400",-7380.93459999934,4864847.2356,"3","WAP011",-40
"401",-7383.73310000077,4864842.1917,"3","WAP011",-49
"402",-7370.01060000062,4864847.7536,"3","WAP011",-49
"403",-7377.09640000015,4864854.1539,"3","WAP011",-49
"404",-7375.02870000154,4864855.4599,"3","WAP011",-55
"405",-7374.34750000015,4864845.6047,"3","WAP011",-36
"406",-7372.80299999937,4864849.3027,"3","WAP011",-49
"407",-7363.28240000084,4864844.0206,"3","WAP011",-58
"408",-7366.24240000173,4864841.108,"3","WAP011",-52
"409",-7373.05279999971,4864844.8865,"3","WAP011",-41
"410",-7366.09589999914,4864845.5816,"3","WAP011",-58
"411",-7356.61199999973,4864840.32,"3","WAP011",-61
"412",-7359.1484999992,4864841.7272,"3","WAP011",-55
"413",-7359.33109999821,4864837.2735,"3","WAP011",-61
"414",-7359.1484999992,4864841.7272,"3","WAP011",-68
"415",-7352.52030000091,4864833.4948,"3","WAP011",-67
"416",-7352.3396999985,4864837.9498,"3","WAP011",-75
"417",-7345.42330000177,4864829.5577,"3","WAP011",-71
"418",-7353.72340000048,4864834.1625,"3","WAP011",-60
"419",-7336.29899999872,4864829.0504,"3","WAP011",-68
"420",-7337.52789999917,4864825.6245,"3","WAP011",-63
"421",-7338.66330000013,4864826.2543,"3","WAP011",-61
"422",-7329.37680000067,4864825.2102,"3","WAP011",-70
"423",-7329.37680000067,4864825.2102,"3","WAP011",-75
"424",-7309.51749999821,4864813.2935,"3","WAP011",-78
"425",-7390.4354000017,4864835.897,"3","WAP011",-68
"426",-7390.7611999996,4864835.141,"3","WAP011",-62
"427",-7383.73310000077,4864842.1917,"3","WAP011",-42
"428",-7377.09640000015,4864854.1539,"3","WAP011",-58
"429",-7380.93459999934,4864847.2356,"3","WAP011",-41
"430",-7377.84659999982,4864852.8022,"3","WAP011",-41
"431",-7381.75470000133,4864845.7573,"3","WAP011",-40
"432",-7373.05279999971,4864844.8865,"3","WAP011",-47
"433",-7375.02870000154,4864855.4599,"3","WAP011",-53
"434",-7374.34750000015,4864845.6047,"3","WAP011",-37
"435",-7370.01060000062,4864847.7536,"3","WAP011",-53
"436",-7372.80299999937,4864849.3027,"3","WAP011",-48
"437",-7359.1484999992,4864841.7272,"3","WAP011",-64
"438",-7367.45879999921,4864841.7828,"3","WAP011",-53
"439",-7366.24240000173,4864841.108,"3","WAP011",-47
"440",-7366.09589999914,4864845.5816,"3","WAP011",-52
"441",-7363.28240000084,4864844.0206,"3","WAP011",-56
"442",-7356.61199999973,4864840.32,"3","WAP011",-69
"443",-7359.1484999992,4864841.7272,"3","WAP011",-65
"444",-7359.33109999821,4864837.2735,"3","WAP011",-63
"445",-7352.3396999985,4864837.9498,"3","WAP011",-72
"446",-7353.72340000048,4864834.1625,"3","WAP011",-62
"447",-7352.52030000091,4864833.4948,"3","WAP011",-69
"448",-7337.52789999917,4864825.6245,"3","WAP011",-69
"449",-7331.91840000078,4864822.5122,"3","WAP011",-70
"450",-7331.91840000078,4864822.5122,"3","WAP011",-79
"451",-7325.05290000141,4864818.7036,"3","WAP011",-76
"452",-7309.51749999821,4864813.2935,"3","WAP011",-75
"453",-7390.7611999996,4864835.141,"3","WAP011",-60
"454",-7380.93459999934,4864847.2356,"3","WAP011",-47
"455",-7383.73310000077,4864842.1917,"3","WAP011",-40
"456",-7377.84659999982,4864852.8022,"3","WAP011",-42
"457",-7375.02870000154,4864855.4599,"3","WAP011",-54
"458",-7370.01060000062,4864847.7536,"3","WAP011",-48
"459",-7366.09589999914,4864845.5816,"3","WAP011",-55
"460",-7373.05279999971,4864844.8865,"3","WAP011",-44
"461",-7367.45879999921,4864841.7828,"3","WAP011",-50
"462",-7359.1484999992,4864841.7272,"3","WAP011",-73
"463",-7366.24240000173,4864841.108,"3","WAP011",-57
"464",-7360.497299999,4864837.9205,"3","WAP011",-67
"465",-7353.72340000048,4864834.1625,"3","WAP011",-58
